Actual,Predicted RF,Predicted GPR,Predicted KNN
5656.35,18573.53942,19740.24982,21186.66154
4106.6,9091.71488,24338.73111,16516.27103
11567.1,14905.31008,19539.79081,9909.124359
10648.1,8838.302533,20614.13588,11057.36538
10280.33333,16522.81175,24606.43705,19948.24744
32823.4,33961.6304,24640.69767,29358.92179
20898.4,15275.35247,27198.54756,14445.15128
25162.4,21724.05192,33020.47835,17082.25051
20413.1,15115.65462,21293.78371,13706.53205
24413.2,18114.75479,17383.75348,16579.27872
40082.46667,26411.55444,26082.89324,34099.22051
4132.9,6292.737808,18530.39442,7946.866667
512.5,10866.8476,16578.37566,9801.088462
13091.6,15742.01551,18872.99603,9896.838462
50335.25,45276.85637,30978.49416,37639.40513
9904.15,11521.28466,17139.69143,10195.45051
26745.5,18959.83996,23019.66682,18885.40513
67704.35,61382.92134,31026.16578,56538.67641
51865.95,58474.60185,33748.29864,56387.61795
23102.13333,13389.0424,19752.27432,13463.47949
14374.8,10482.39954,16924.25882,11531.60769
20812.25,22814.19248,31367.254,37282.58077
